Country,GDP per capita,Life satisfied
Russia,9054.914,Not Satisfied
Turkey,9437.372,Not Satisfied
Hungary,12239.894,Not Satisfied
Poland,12495.334,Not Satisfied
Slovak Republic,15991.736,Not Satisfied
Estonia,17288.083,Not Satisfied
Greece,18064.288,Not Satisfied
Portugal,19121.592,Not Satisfied
Slovenia,20732.482,Not Satisfied
Spain,25864.721,Satisfied
Korea,27195.197,Not Satisfied
Italy,29866.581,Not Satisfied
Japan,32485.545,Not Satisfied
Israel,35343.336,Satisfied
New Zealand,37044.891,Satisfied
France,37675.006,Satisfied
Belgium,40106.632,Satisfied
Germany,40996.511,Satisfied
Finland,41973.988,Satisfied
Canada,43331.961,Satisfied
Netherlands,43603.115,Satisfied
Austria,43724.031,Satisfied
United Kingdom,43770.688,Satisfied
Sweden,49866.266,Satisfied
Iceland,50854.583,Satisfied
Australia,50961.865,Satisfied
Ireland,51350.744,Satisfied
Denmark,52114.165,Satisfied
United States,55805.204,Satisfied
